"","X1","X2","X3","X1.1","X2.1","X3.1","X1.2","X2.2","X3.2","X1.3","X2.3","X3.3","X1.4","X2.4","X3.4","X1.5","X2.5","X3.5"
"1",0,8,274,0,26,418,0,211,432,0,575,487,0,879,437,0,1160,368
"2",0,4,237,0,47,368,0,186,389,0,582,421,0,876,412,0,1303,342
"3",0,6,295,0,32,366,0,199,426,0,622,388,0,838,364,0,1320,246
"4",0,8,212,0,39,336,0,206,324,0,638,364,0,903,359,0,1449,282
"5",0,5,300,0,44,265,0,200,354,0,646,436,0,1014,407,0,1486,325
"6",0,8,289,0,45,439,0,193,478,0,706,438,0,1003,422,0,1476,408
"7",0,7,326,0,55,394,0,217,481,0,715,519,0,1103,449,0,1681,415
"8",0,11,343,0,47,401,0,207,457,0,737,482,0,1185,476,0,1865,422
"9",0,9,367,0,55,402,0,216,477,0,750,468,0,1234,461,0,1908,448
"10",0,8,381,0,45,325,0,226,406,0,669,465,0,1329,461,0,2038,478
